county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01057,35594,0.124353426,0.033012380,0.010989011,0.115969948
01057,35559,0.000000000,0.001375516,0.000000000,0.000096321
01057,35549,0.019001372,0.001375516,0.000000000,0.017434020
01057,35574,0.014039903,0.002751032,0.000000000,0.013003275
01057,35563,0.006439354,0.000000000,0.000000000,0.005875554
01057,35554,0.036313734,0.011004127,0.010989011,0.034097476
01057,35555,0.562546184,0.830811554,0.934065934,0.587844346
01057,35579,0.000105563,0.000000000,0.000000000,0.000096321
01059,35616,0.000128966,0.000000000,0.000000000,0.000118350
01059,35674,0.007286562,0.000000000,0.062295082,0.007811113
01059,35564,0.005158628,0.000920810,0.000000000,0.004793183
01059,35582,0.131931906,0.116942910,0.088524590,0.130185218
01059,35585,0.049845241,0.032228361,0.000000000,0.047813480
01059,35653,0.316223884,0.591160221,0.377049180,0.334990236
01059,35581,0.166752644,0.088397790,0.232786885,0.162909048
01059,35593,0.053843178,0.020257827,0.016393443,0.051008935
01059,35565,0.012251741,0.004604052,0.019672131,0.011894195
01059,35571,0.027727624,0.017495396,0.006557377,0.026687970
01059,35654,0.228849626,0.127992634,0.196721311,0.221788271
01061,36352,0.003084304,0.000000000,0.000000000,0.002858413
01061,36314,0.025839616,0.013307985,0.059405941,0.025217557
01061,36301,0.006785469,0.000950570,0.000000000,0.006352029
01061,36453,0.033584647,0.012357414,0.000000000,0.031950708
01061,36442,0.000479781,0.000000000,0.000000000,0.000444642
01061,36322,0.003769705,0.000950570,0.000000000,0.003557137
01061,36477,0.191843729,0.293726236,0.099009901,0.198056279
01061,36316,0.037628513,0.018060837,0.000000000,0.036079527
01061,36313,0.000000000,0.000950570,0.000000000,0.000063520
01061,36340,0.204592186,0.329847909,0.435643564,0.214444515
01061,36349,0.000000000,0.000950570,0.000000000,0.000063520
01061,36305,0.026387937,0.007604563,0.000000000,0.024963476
01061,36318,0.028992461,0.002851711,0.000000000,0.027059646
01061,36344,0.216518163,0.213878327,0.237623762,0.216477164
01061,36375,0.220493489,0.104562738,0.168316832,0.212411866
01063,36740,0.226889181,0.079037801,0.033333333,0.218252565
01063,35462,0.515094693,0.793814433,0.900000000,0.531482137
01063,35480,0.014625914,0.003436426,0.000000000,0.013972409
01063,35448,0.000000000,0.003436426,0.000000000,0.000176866
01063,35463,0.004875305,0.000000000,0.000000000,0.004598514
01063,35491,0.000000000,0.003436426,0.000000000,0.000176866
01063,35469,0.026439152,0.027491409,0.000000000,0.026353024
01063,35464,0.005625352,0.003436426,0.000000000,0.005482844
01063,35443,0.206450403,0.085910653,0.066666667,0.199504775
01065,35474,0.250843514,0.165605096,0.044665012,0.237828704
01065,36765,0.062129145,0.023354565,0.009925558,0.057978667
01065,36744,0.453519488,0.713375796,0.928039702,0.486640617
01065,36776,0.104363002,0.027600849,0.000000000,0.096103073
01065,35441,0.083420593,0.036093418,0.004962779,0.077727321
01065,36742,0.029552065,0.027600849,0.002481390,0.028302883
01065,36786,0.000116347,0.000000000,0.000000000,0.000105608
01065,36738,0.013728912,0.004246285,0.009925558,0.013095364
01065,36756,0.002326934,0.002123142,0.000000000,0.002217763
01067,36373,0.031781514,0.015170670,0.005494505,0.030190020
01067,36319,0.050247837,0.016434893,0.000000000,0.047060913
01067,36317,0.023714647,0.008849558,0.010989011,0.022464926
01067,36303,0.001846632,0.000000000,0.000000000,0.001687089
01067,36310,0.457673243,0.534766119,0.824175824,0.469010833
01067,36345,0.345320245,0.390644753,0.148351648,0.345320547
01067,36353,0.081349014,0.030341340,0.010989011,0.076629373
01067,36350,0.008066868,0.003792668,0.000000000,0.007636299
01069,36305,0.137229801,0.106550343,0.146170442,0.134114091
01069,36370,0.008540287,0.000572082,0.000000000,0.007414054
01069,36350,0.005687429,0.000715103,0.000000000,0.004974185
01069,36319,0.013532790,0.004862700,0.009169364,0.012451203
01069,36352,0.028638309,0.012156751,0.008629989,0.026240398
01069,36376,0.021762189,0.003432494,0.007551241,0.019330059
01069,36375,0.011045682,0.003861556,0.005393743,0.010090039
01069,36303,0.274386453,0.390446224,0.379719525,0.290234227
01069,36302,0.029808712,0.123140732,0.000539374,0.039226798
01069,36312,0.055155261,0.011155606,0.037216828,0.049789069
01069,36320,0.034581764,0.011155606,0.013484358,0.031387735
01069,36343,0.016056472,0.004433638,0.001078749,0.014340133
01069,36345,0.008412275,0.002431350,0.001618123,0.007555723
01069,36301,0.340532534,0.320366133,0.378101402,0.339409394
01069,36321,0.014630043,0.004719680,0.011326861,0.013442891
01071,35769,0.162974171,0.155877784,0.201704545,0.162971839
