Date,ZipCode,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
9/30/2017,75227,TX,Dallas-Fort Worth,Dallas,Dallas,1006,1232,0.003257329,0.010664479,0.043183743,13222
9/30/2017,44870,OH,Sandusky,Erie,Sandusky,1007,913,0.006615215,0.018973214,0.029312289,15330
9/30/2017,19403,PA,Philadelphia,Montgomery,West Norriton,1008,1795,0.000557414,0.008993817,0.014124294,15341
9/30/2017,95060,CA,Santa Cruz,Santa Cruz,Santa Cruz,1009,3337,0.006029545,0.006940253,0.056012658,11578
9/30/2017,91406,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1010,2734,0.007369197,0.021292492,0.046306927,10348
9/30/2017,21044,MD,Baltimore,Howard,Columbia,1011,2217,0.000451264,0.002713704,0.016972477,13442
9/30/2017,22554,VA,Washington,Stafford,Stafford,1012,1926,0.001039501,0.006269592,0,16673
9/30/2017,85260,AZ,Phoenix,Maricopa,Scottsdale,1013,1995,0.000501505,0.004531722,0.03798127,16412
9/30/2017,55112,MN,Minneapolis-St Paul,Ramsey,New Brighton,1014,1628,0.003080715,0.01369863,0.03562341,12939
9/30/2017,77015,TX,Houston,Harris,Cloverleaf,1015,1288,0.00155521,-0.000775795,0.00155521,11482
9/30/2017,98270,WA,Seattle,Snohomish,Marysville,1016,1883,0.011278195,0.03632361,0.087182448,15559
9/30/2017,2895,RI,Providence,Providence,Woonsocket,1017,1337,0.009818731,0.022171254,0.047805643,8564
9/30/2017,27604,NC,Raleigh,Wake,Raleigh,1018,1283,-0.00155642,-0.007733952,0.015031646,14543
9/30/2017,15108,PA,Pittsburgh,Allegheny,Moon Township,1019,1407,-0.00845666,-0.014015417,-0.011243851,15174
9/30/2017,85719,AZ,Tucson,Pima,Tucson,1020,1131,0.006227758,0.016172507,0.040478381,10650
9/30/2017,33142,FL,Miami-Fort Lauderdale,Miami-Dade,Miami,1021,1645,0.00304878,0.006731946,0.00182704,10329
9/30/2017,32164,FL,Daytona Beach,Flagler,Palm Coast,1022,1303,0.001537279,0,0.011645963,17874
9/30/2017,48111,MI,Detroit,Wayne,Van Buren Township,1023,1159,-0.007705479,-0.004295533,0.016666667,15120
9/30/2017,90020,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1024,2487,0.004037142,0.014274062,0.034095634,2785
9/30/2017,12866,NY,Albany,Saratoga,Saratoga Springs,1025,2110,0.004283674,0.017357763,0.028766455,12344
9/30/2017,60632,IL,Chicago,Cook,Chicago,1026,1471,0.000680272,0.004781421,0.011691884,11145
9/30/2017,63033,MO,St. Louis,Saint Louis,Florissant,1027,1184,0,0.003389831,0.026886383,14787
9/30/2017,30721,GA,Dalton,Whitfield,Dalton,1028,992,0.004048583,0.016393443,0.04973545,13014
9/30/2017,55044,MN,Minneapolis-St Paul,Dakota,Lakeville,1029,1974,-0.001517451,-0.004538578,0.031887088,15767
9/30/2017,75231,TX,Dallas-Fort Worth,Dallas,Dallas,1030,1258,0.007205765,0.008012821,0.007205765,6163
9/30/2017,10461,NY,New York,Bronx,New York,1031,1771,-0.002815315,0.006822058,-0.010061487,7801
9/30/2017,90803,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Long Beach,1032,2918,0,-0.001368925,0.023500526,11178
9/30/2017,85326,AZ,Phoenix,Maricopa,Buckeye,1033,1209,0.0075,0.027187766,0.038659794,16305
9/30/2017,96822,HI,Urban Honolulu,Honolulu,Honolulu,1034,2229,-0.001344086,-0.008010681,-0.03002611,14408
9/30/2017,98003,WA,Seattle,King,Federal Way,1035,1883,0.008029979,0.024483134,0.100526008,11045
9/30/2017,19139,PA,Philadelphia,Philadelphia,Philadelphia,1036,1104,0.005464481,0.024118738,0.03564728,14238
9/30/2017,32725,FL,Daytona Beach,Volusia,Deltona,1037,1182,0.005102041,0.016337059,0.028720627,18786
9/30/2017,75006,TX,Dallas-Fort Worth,Denton,Carrollton,1038,1583,0,-0.000631313,0.025259067,11684
9/30/2017,78233,TX,San Antonio,Bexar,San Antonio,1039,1268,0.007148531,0.016840417,0.031733116,14122
9/30/2017,90028,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,1040,2815,-0.002833865,0.000710985,-0.000355114,2454
9/30/2017,95610,CA,Sacramento,Sacramento,Citrus Heights,1041,1670,0.007237636,0.023911711,0.06031746,11938
9/30/2017,85044,AZ,Phoenix,Maricopa,Phoenix,1042,1442,0.001388889,0.000693963,0.016208598,13511
9/30/2017,48170,MI,Detroit,Wayne,Plymouth Township,1043,1834,-0.000544959,0.028603477,0.059503177,15851
9/30/2017,33033,FL,Miami-Fort Lauderdale,Miami-Dade,Homestead,1044,1596,-0.001251564,-0.0025,0.004405286,21539
9/30/2017,28806,NC,Asheville,Buncombe,Asheville,1045,1356,0.005934718,0.009679821,0.043076923,12839
9/30/2017,90503,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Torrance,1046,3252,-0.005200367,0.000307598,0.018159048,11540
9/30/2017,46350,IN,Michigan City,La Porte,La Porte,1047,998,-0.042226488,-0.096014493,-0.116031887,27708
9/30/2017,29607,SC,Greenville,Greenville,Greenville,1048,1387,0,-0.000720461,0.019852941,10680
9/30/2017,8854,NJ,New York,Middlesex,Piscataway Township,1049,2198,0.002279982,-0.000454752,0.029026217,14105
9/30/2017,37221,TN,Nashville,Davidson,Nashville,1050,1753,-0.007923033,-0.020670391,-0.007361268,14953
9/30/2017,90813,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Long Beach,1051,2121,0.000471698,0.002362949,0.06209314,6500
9/30/2017,27526,NC,Raleigh,Wake,Fuquay Varina,1052,1439,-0.000694444,-0.000694444,0.029327611,15517
9/30/2017,95628,CA,Sacramento,Sacramento,Fair Oaks,1053,1891,0.010689471,0.024932249,0.052309405,14638
9/30/2017,85382,AZ,Phoenix,Maricopa,Peoria,1054,1403,0.001427552,0.002859185,0.016666667,15228
9/30/2017,30064,GA,Atlanta,Cobb,Marietta,1055,1680,0.0041841,0.017565112,0.025641026,17153
9/30/2017,8757,NJ,New York,Ocean,Berkeley,1056,1452,0.00068918,0.008333333,0.04610951,17804
9/30/2017,40324,KY,Lexington,Scott,Georgetown,1057,1302,-0.001533742,0.006960557,0.066339066,13374
9/30/2017,78542,TX,McAllen,Hidalgo,Edinburg,1058,1024,-0.007751938,-0.020095694,-0.022900763,12283
9/30/2017,54935,WI,Fond du Lac,Fond du Lac,Fond du Lac,1059,873,0.062043796,0.099496222,0.050541516,14110
9/30/2017,32514,FL,Pensacola,Escambia,Pensacola,1060,1052,0.000951475,0.006698565,-0.001897533,12170
9/30/2017,19103,PA,Philadelphia,Philadelphia,Philadelphia,1061,1874,-0.010559662,-0.018334206,-0.039959016,9301
9/30/2017,74055,OK,Tulsa,Tulsa,Owasso,1062,1261,0,-0.000792393,-0.0232378,11891
9/30/2017,47201,IN,Columbus,Bartholomew,Columbus,1063,1173,0.002564103,0.014705882,0.012953368,15471
9/30/2017,70115,LA,New Orleans,Orleans,New Orleans,1064,1987,-0.001507538,0.004042446,-0.027886497,9171
9/30/2017,60623,IL,Chicago,Cook,Chicago,1065,1380,0.001451379,0.008035062,0.001451379,7075
9/30/2017,14609,NY,Rochester,Monroe,Rochester,1066,1177,0.002555366,0.011168385,0.051831993,14923
9/30/2017,27513,NC,Raleigh,Wake,Cary,1067,1622,0,0.000616903,0.00996264,13549
9/30/2017,30605,GA,Athens,Clarke,Athens,1068,1135,0.004424779,0.002650177,0.025293586,11102
9/30/2017,85338,AZ,Phoenix,Maricopa,Goodyear,1069,1326,0.005307051,0.016871166,0.037558685,16558
9/30/2017,34741,FL,Orlando,Osceola,Kissimmee,1070,1201,0.005020921,0.01179444,0.042534722,11432
9/30/2017,80537,CO,Fort Collins,Larimer,Loveland,1071,1647,0.000607533,0.004268293,0.011670762,14572
9/30/2017,77040,TX,Houston,Harris,Houston,1072,1433,0,0.003501401,-0.006241331,11981
9/30/2017,52404,IA,Cedar Rapids,Linn,Cedar Rapids,1073,945,0,-0.003164557,-0.016649324,16228
9/30/2017,11106,NY,New York,New York,New York,1074,2273,-0.000439754,0.004862953,-0.023205844,5804
9/30/2017,20171,VA,Washington,Fairfax,Herndon,1075,2639,-0.004150943,-0.004526594,0.019312476,12560
9/30/2017,92324,CA,Riverside,San Bernardino,Colton,1076,1574,0.009621552,0.024072869,0.075871497,11731
9/30/2017,62040,IL,St. Louis,Madison,Granite City,1077,794,0.003792668,0.002525253,-0.01120797,15850
9/30/2017,33578,FL,Tampa,Hillsborough,Riverview,1078,1385,0,0.005809731,0.02897474,13904
9/30/2017,94550,CA,San Francisco,Alameda,Livermore,1079,3187,0.004412228,0.016586922,0.006951027,15880
9/30/2017,95206,CA,Stockton,San Joaquin,Stockton,1080,1388,0.007988381,0.019089574,0.080996885,15477
9/30/2017,44111,OH,Cleveland,Cuyahoga,Cleveland,1081,896,0.001117318,0.004484305,0.013574661,14220
9/30/2017,29651,SC,Greenville,Greenville,Greer,1082,1330,0,0.009104704,0.020721412,14424
9/30/2017,16801,PA,State College,Centre,State College,1083,1697,0.002955083,0.025377644,0.054037267,7548
9/30/2017,21221,MD,Baltimore,Baltimore,Essex,1084,1568,-0.001273885,0.005128205,0.037723362,13194
